scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,risk_aware_v1_pre_cbf,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511258056387305,official GSplatLoader.query_distance safety h value; not meters,0.8151260834788997,0.784,0.1449411505525427,0.1449411505525427,325,325,0.03474976123525546,0.04118252657353878,0.9015384615384615,0.02505720689320078,0.07496394962072372,191.84,381.0,0,16.762246064841747,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069268660619855,official GSplatLoader.query_distance safety h value; not meters,0.19687967863455672,0.7840896733951637,0.6297183504764493,0.6297183504764493,114,114,0.03414270172320437,0.03611504575237632,0.9824561403508771,0.06708249134343965,0.10606218129396439,278.7456140350877,451.7,0,5.775474064052105,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013136927736923099,official GSplatLoader.query_distance safety h value; not meters,0.19347972984861803,0.7842325773112758,0.6324994701146047,0.6324994701146047,104,104,0.03447108287722445,0.03662743801251054,0.9903846153846154,0.06545803620390994,0.08727269619703293,295.08653846153845,540.9499999999997,0,5.323622876778245,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008008615113794804,official GSplatLoader.query_distance safety h value; not meters,0.22796674574393724,0.7842277798056816,0.6054499249213874,0.6054499249213874,123,123,0.034709738431180394,0.03869470525532961,0.991869918699187,0.06581280356947398,0.0878601223230362,349.0569105691057,657.7999999999995,0,6.300818106159568,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000838529085740447,official GSplatLoader.query_distance safety h value; not meters,0.819616646662365,0.784082025527739,0.14143534505645874,0.14143534505645874,357,357,0.03554308141584323,0.038771114125847814,0.9439775910364145,0.03918884664926572,0.07863824814558029,239.00840336134453,530.0,0,18.72822797112167,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147289579734206,official GSplatLoader.query_distance safety h value; not meters,0.291468214955073,0.7840002568014284,0.5554891014271972,0.5554891014271972,170,170,0.03532151989638806,0.03724479964002967,0.9588235294117647,0.06462932360046285,0.0978928729891777,381.16470588235296,565.0,0,8.854003809392452,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385838449001312,official GSplatLoader.query_distance safety h value; not meters,0.5703960814766261,0.7840974736682284,0.3368513471921489,0.3368513471921489,243,243,0.03534434098796344,0.03797619100660085,0.9218106995884774,0.05751680531268924,0.1121610477566719,240.20987654320987,357.6999999999995,0,12.709432154893875,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000874209450557828,official GSplatLoader.query_distance safety h value; not meters,0.5912355676463673,0.7842369518727405,0.3205681724630039,0.3205681724630039,225,225,0.03471527684066031,0.03689744919538498,0.8933333333333333,0.047559674913786536,0.08738937973976135,237.10222222222222,388.0,0,11.548119967803359,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320524262264371,official GSplatLoader.query_distance safety h value; not meters,0.8225472634112168,0.7842225786662452,0.13916244267903752,0.13916244267903752,331,331,0.03496613426646077,0.037578120827674866,0.9274924471299094,0.04766107421321072,0.08338262140750885,222.74320241691842,371.0,0,17.07373172789812,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710308026522398,official GSplatLoader.query_distance safety h value; not meters,0.7953933338982863,0.7840745608661205,0.16042688187398207,0.16042688187398207,303,303,0.03511787073766635,0.03818664345890284,0.9075907590759076,0.04676627600660257,0.09014105051755905,243.25412541254124,407.0,0,15.703524477779865,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090693011879921,official GSplatLoader.query_distance safety h value; not meters,0.666969936162392,0.7840010261711613,0.26109591179453207,0.26109591179453207,264,264,0.03558583719176099,0.040971519146114584,0.9772727272727273,0.06885046471714595,0.11730299890041351,259.5378787878788,418.5999999999999,0,13.907369930297136,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
